StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,demo_gender,demo_gender_10_TEXT,demo_yob,demo_state,demo_educ,demo_race,demo_eth,demo_browser_Browser,demo_browser_Version,demo_browser_Operating System,demo_browser_Resolution,demo_timer_First Click,demo_timer_Last Click,demo_timer_Page Submit,demo_timer_Click Count,ac_nonsense_1,ac_nonsense_timer_First Click,ac_nonsense_timer_Last Click,ac_nonsense_timer_Page Submit,ac_nonsense_timer_Click Count,ac_imc,ac_imc_timer_First Click,ac_imc_timer_Last Click,ac_imc_timer_Page Submit,ac_imc_timer_Click Count,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,tipi_timer_First Click,tipi_timer_Last Click,tipi_timer_Page Submit,tipi_timer_Click Count,color_rank_1,color_rank_2,color_rank_3,color_rank_4,color_rank_5,color_rank_7,color_rank_6,stack_blocks,stack_blocks_timer_First Click,stack_blocks_timer_Last Click,stack_blocks_timer_Page Submit,stack_blocks_timer_Click Count,heatmap_1_x,heatmap_1_y,heatmap_2_x,heatmap_2_y,heatmap_3_x,heatmap_3_y,heatmap_4_x,heatmap_4_y,heatmap_5_x,heatmap_5_y,heatmap_6_x,heatmap_6_y,feedback,SOURCE
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,How do you identify? - Selected Choice,How do you identify? - Prefer to self-describe - Text,"Please enter your Year of Birth (format: YYYY; for example, 1991)","50 States, D.C. and Puerto Rico",What is the highest grade or level of school you have completed or the highest degree you have received?,Please select the Race(s) with which you MOST CLOSELY identify.,Please select the Ethnicity with which you MOST CLOSELY identify.,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate your agreement with the statement below: - I swim across the Atlantic Ocean everyday to get to work or school,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The colour test you are about fo take part in is very simple, when asked for your favourite
colour you must select ‘Green’. This Is an attention check.


Based on the text you read above, what colour have you been asked to enter?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganized, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Rank order your favorite colors from the list below - Green,Rank order your favorite colors from the list below - Red,Rank order your favorite colors from the list below - Orange,Rank order your favorite colors from the list below - Yellow,Rank order your favorite colors from the list below - Blue,Rank order your favorite colors from the list below - Purple,Rank order your favorite colors from the list below - No Name,Stack three blocks,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click the 6 most visually appealing items in the image below. - 1 - X,Click the 6 most visually appealing items in the image below. - 1 - Y,Click the 6 most visually appealing items in the image below. - 2 - X,Click the 6 most visually appealing items in the image below. - 2 - Y,Click the 6 most visually appealing items in the image below. - 3 - X,Click the 6 most visually appealing items in the image below. - 3 - Y,Click the 6 most visually appealing items in the image below. - 4 - X,Click the 6 most visually appealing items in the image below. - 4 - Y,Click the 6 most visually appealing items in the image below. - 5 - X,Click the 6 most visually appealing items in the image below. - 5 - Y,Click the 6 most visually appealing items in the image below. - 6 - X,Click the 6 most visually appealing items in the image below. - 6 - Y,"Do you have any other comments, questions, or tips?",SOURCE
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1715565625""}","{""ImportId"":""QID1715565625_10_TEXT""}","{""ImportId"":""QID1715565626_TEXT""}","{""ImportId"":""QID1715565627""}","{""ImportId"":""QID1715565628""}","{""ImportId"":""QID1715565629""}","{""ImportId"":""QID1715565630""}","{""ImportId"":""QID27_BROWSER""}","{""ImportId"":""QID27_VERSION""}","{""ImportId"":""QID27_OS""}","{""ImportId"":""QID27_RESOLUTION""}","{""ImportId"":""QID1715565631_FIRST_CLICK""}","{""ImportId"":""QID1715565631_LAST_CLICK""}","{""ImportId"":""QID1715565631_PAGE_SUBMIT""}","{""ImportId"":""QID1715565631_CLICK_COUNT""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID11_FIRST_CLICK""}","{""ImportId"":""QID11_LAST_CLICK""}","{""ImportId"":""QID11_PAGE_SUBMIT""}","{""ImportId"":""QID11_CLICK_COUNT""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID38_6""}","{""ImportId"":""QID38_7""}","{""ImportId"":""QID39""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID41"",""point"":1,""coord"":""x""}","{""ImportId"":""QID41"",""point"":1,""coord"":""y""}","{""ImportId"":""QID41"",""point"":2,""coord"":""x""}","{""ImportId"":""QID41"",""point"":2,""coord"":""y""}","{""ImportId"":""QID41"",""point"":3,""coord"":""x""}","{""ImportId"":""QID41"",""point"":3,""coord"":""y""}","{""ImportId"":""QID41"",""point"":4,""coord"":""x""}","{""ImportId"":""QID41"",""point"":4,""coord"":""y""}","{""ImportId"":""QID41"",""point"":5,""coord"":""x""}","{""ImportId"":""QID41"",""point"":5,""coord"":""y""}","{""ImportId"":""QID41"",""point"":6,""coord"":""x""}","{""ImportId"":""QID41"",""point"":6,""coord"":""y""}","{""ImportId"":""QID1715564212_TEXT""}","{""ImportId"":""SOURCE""}"
2023-03-02 18:47:13,2023-03-02 18:48:05,IP Address,100,51,True,2023-03-02 18:48:05,R_ebWN3A3QxDIrmk9,anonymous,EN,Man,,1991,Florida,"Professional School Degree (Example: MD, DDS, DVM, JD)",,Hispanic or Latinx,Chrome,110.0.0.0,Macintosh,1440x900,1.337,13.248,13.252,7,Strongly Agree,,,,,Green,,,,,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,0.918,6.812,7.714,11,,,,,,,,,,,,,,,,,,,,,,,,,sdfasdfadsfsdfas,ucf_workshop_march2023
2023-03-02 21:03:26,2023-03-02 21:04:40,IP Address,100,73,True,2023-03-02 21:04:40,R_1Nn7W8AYuK9AguZ,anonymous,EN,Man,,1991,District of Columbia,"Master's Degree: (Example: MA, MS, MEng, MEd, MBA)",White,Hispanic or Latinx,Chrome,110.0.0.0,Macintosh,1440x900,1.094,12.144,13.439,6,Strongly Disagree,,,,,Green,,,,,Disagree a little,Agree moderately,Disagree moderately,Disagree a little,Disagree a little,Disagree moderately,Agree a little,Disagree a little,Disagree moderately,Neither agree nor disagree,0.875,12.24,12.774,12,6,1,2,3,4,5,7,3,,,,,329,91,398,71,88,225,104,410,169,102,450,259,,ucf_workshop_march2023
2023-03-02 21:04:42,2023-03-02 21:06:00,IP Address,100,77,True,2023-03-02 21:06:01,R_TvBvtEWCGYUepNL,anonymous,EN,Woman,,1993,Illinois,"Bachelor's Degree: (Example: BA, AB, BS, BBA)",White,Not Hispanic or Latinx,Chrome,110.0.0.0,Macintosh,1440x900,1.671,24.848,25.592,15,Strongly Agree,,,,,Blue,,,,,Disagree moderately,Disagree moderately,Disagree moderately,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Disagree moderately,1.045,11.566,12.834,14,1,3,5,2,7,4,6,3,,,,,439,90,450,268,209,268,47,390,54,191,313,117,,ucf_workshop_march2023
2023-03-02 21:45:11,2023-03-02 21:46:16,IP Address,100,65,True,2023-03-02 21:46:17,R_3hubo9YJwyUPAzy,anonymous,EN,Do not wish to report,,1991,New York,"Master's Degree: (Example: MA, MS, MEng, MEd, MBA)",White,Hispanic or Latinx,Chrome,110.0.0.0,Macintosh,1440x900,1.091,19.187,20.747,9,Strongly Disagree,1.206,3.105,3.769,3,Green,1.651,1.651,2.64,1,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,0.97,6.156,7.24,10,1,2,4,5,6,3,7,1,1.742,1.742,2.558,1,87,226,242,264,212,253,115,351,458,259,351,97,,
2023-03-02 21:50:17,2023-03-02 21:50:17,Survey Test,100,0,True,2023-03-02 21:50:17,R_8xd3UbjH7CSLl6m,test,,Man,,1907,Hawaii,Associate Degree: Academic Program,"Black or African-American,White",Not Hispanic or Latinx,porttitor,phasellus,consectetuer,malesuada,2.69,7.01,5.52,12,Disagree,0.86,5.77,3,9,Blue,7.08,8.1,8.68,10,Agree moderately,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree a little,Disagree strongly,Agree a little,Agree strongly,Disagree moderately,8.18,9.94,8.49,50,2,4,7,3,6,5,1,7,9.77,9.88,9.87,26,421,194,478,272,348,328,329,171,6,160,273,403,Imperdiet dignissim risus placerat temporibus consectetuer vestibulum elit dolorem lorem.,
2023-03-02 21:50:17,2023-03-02 21:50:17,Survey Test,100,0,True,2023-03-02 21:50:17,R_bkJfOAqAtaUizMG,test,,Woman,,1908,Tennessee,Associate Degree: Academic Program,"American Indian or Alaska Native,Asian,Black or African-American,White",Hispanic or Latinx,venenatis,pellentesque,dignissim,temporibus,6.44,8.57,9.61,16,Agree,2.07,3.7,2.9,16,Red,2.98,9.43,7.71,28,Agree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree a little,Disagree strongly,Disagree moderately,Disagree moderately,Disagree strongly,Neither agree nor disagree,7.88,9.27,9.17,2,3,4,2,6,5,7,1,9,1.32,8.78,4.65,18,117,376,459,477,29,424,237,173,136,187,286,18,At. At accusamus! Cras accusamus facilisis platea dui scelerisque. Suspendisse.,
2023-03-02 21:50:17,2023-03-02 21:50:17,Survey Test,100,0,True,2023-03-02 21:50:17,R_ex0qtq2BJbxtC0C,test,,Do not wish to report,,1958,Indiana,High school graduate,"American Indian or Alaska Native,Black or African-American,Native Hawaiian or Other Pacific Islander,Unknown,Prefer not to say",Unknown,accusamus,imperdiet,ridiculus,consequat,9.71,9.87,9.77,48,Strongly Disagree,5.02,8.2,6.95,43,Brown,9.72,9.74,9.73,23,Disagree a little,Neither agree nor disagree,Agree strongly,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree strongly,Disagree strongly,Disagree strongly,Disagree a little,7.79,7.89,7.9,8,2,5,1,6,7,4,3,8,1.91,2.86,4.09,42,138,299,374,115,331,325,330,322,31,419,39,106,"Commodo euismod felis. Bibendum rutrum? Elementum, pharetra commodo, fermentum. Enim, quis tellus. Porta metus.",
2023-03-02 21:50:17,2023-03-02 21:50:17,Survey Test,100,0,True,2023-03-02 21:50:17,R_4IAwTudQUoqGjrw,test,,Woman,,1909,North Carolina,Associate Degree: Academic Program,"Asian,Black or African-American,Native Hawaiian or Other Pacific Islander,White,Unknown,Prefer not to say",Unknown,curabitur,imperdiet,phasellus,venenatis,7.82,9.97,8.66,42,Strongly Agree,8.48,9.44,9.21,22,Green,6.43,7.62,8.3,15,Neither agree nor disagree,Agree strongly,Disagree moderately,Disagree strongly,Disagree a little,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree moderately,Agree a little,7.72,7.89,7.83,35,4,7,6,2,3,1,5,7,2.64,7.12,3.15,46,336,415,275,486,246,362,166,440,92,495,12,109,"Quam donec amet viverra, porttitor dictumst felis primis quis non magnis nec. Malesuada.",
2023-03-02 21:50:17,2023-03-02 21:50:17,Survey Test,100,0,True,2023-03-02 21:50:18,R_eQVIZwvZeP1iSGy,test,,Prefer to self-describe,Atque? Porttitor eget scelerisque sagittis lectus facilisi? Commodo est in sapien! Aenean molestie.,2016,Louisiana,"Master's Degree: (Example: MA, MS, MEng, MEd, MBA)","American Indian or Alaska Native,Black or African-American,Native Hawaiian or Other Pacific Islander,White,Unknown,Prefer not to say",Hispanic or Latinx,consectetuer,ultricies,fermentum,malesuada,6.5,7.73,9.13,35,Strongly Agree,3.83,4.76,5.17,12,Brown,5.58,7.72,8.45,18,Agree strongly,Agree a little,Agree moderately,Neither agree nor disagree,Disagree moderately,Disagree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,2.33,9.34,7.29,12,4,6,7,5,3,1,2,4,2.95,7.04,7.76,3,4,270,383,233,477,449,95,14,72,18,277,64,"Dolor massa ab, elit dolorem scelerisque mauris suscipit. Leo faucibus.",
2023-03-02 21:50:18,2023-03-02 21:50:18,Survey Test,100,0,True,2023-03-02 21:50:18,R_8vN82DZwgtbgMNo,test,,Do not wish to report,,1963,West Virginia,"Bachelor's Degree: (Example: BA, AB, BS, BBA)","American Indian or Alaska Native,White",Unknown,curabitur,fringilla,consectetuer,consequat,7.73,8.95,7.9,42,Agree,5.69,9.56,9.97,44,Brown,3.48,5.96,9.98,19,Agree a little,Disagree moderately,Disagree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Disagree moderately,Neither agree nor disagree,Disagree a little,Agree strongly,9.12,9.97,9.82,24,7,1,4,6,5,3,2,9,5.63,7.38,7.96,35,230,175,236,196,12,91,328,210,358,270,291,114,"Massa nunc donec curabitur in accumsan scelerisque lorem elementum id, aliquam lorem.",
2023-03-02 21:50:18,2023-03-02 21:50:18,Survey Test,100,0,True,2023-03-02 21:50:18,R_3xQu9YZe9vLdzjU,test,,Woman,,2017,Nevada,Associate Degree: Academic Program,"American Indian or Alaska Native,Black or African-American,Native Hawaiian or Other Pacific Islander,White,Unknown,Prefer not to say",Unknown,vestibulum,elementum,sollicitudin,pellentesque,9.92,9.95,9.97,44,Disagree,6.74,9.15,8.96,6,Yellow,9.38,9.6,9.86,35,Disagree strongly,Agree a little,Disagree a little,Agree a little,Agree strongly,Disagree moderately,Disagree moderately,Disagree strongly,Neither agree nor disagree,Disagree moderately,6.63,8.44,8.36,48,2,5,7,1,3,6,4,1,5.17,9.57,9.63,24,1,450,442,87,390,30,291,196,341,72,367,241,Viverra metus eleifend. Non! Ante potenti tincidunt pede dolorem! Aliquet.,
2023-03-02 21:50:18,2023-03-02 21:50:18,Survey Test,100,0,True,2023-03-02 21:50:18,R_4UiI0b4XEM15hn8,test,,Do not wish to report,,1915,District of Columbia,Prefer not to say,"American Indian or Alaska Native,Asian,Black or African-American,Native Hawaiian or Other Pacific Islander,White,Unknown,Prefer not to say",Prefer not to say,suspendisse,vulputate,vestibulum,temporibus,0.46,5.62,1.1,47,Strongly Disagree,7.03,9.15,7.7,6,Yellow,5.82,8.27,9.96,41,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree moderately,7,9.87,7.8,29,3,5,1,7,2,4,6,1,7.12,8.76,7.25,35,59,93,345,44,421,322,76,26,187,323,152,78,Purus etiam non mauris commodo porta gravida aliquet maecenas primis ut est! Dolorem arcu aliquam.,
2023-03-02 21:50:18,2023-03-02 21:50:18,Survey Test,100,0,True,2023-03-02 21:50:18,R_6XNyImuLbMozj9A,test,,Man,,1988,Georgia,"Some college, no degree","American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,White,Prefer not to say",Unknown,tincidunt,ullamcorper,fermentum,scelerisque,2.24,3.96,5.37,19,Strongly Agree,6.82,8.08,9.31,28,Green,0.88,3.69,1.18,29,Disagree moderately,Disagree strongly,Agree moderately,Disagree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Agree a little,4.96,7.49,5.05,44,6,5,4,1,7,2,3,6,8.78,8.83,9.97,46,245,457,326,301,178,223,279,381,22,466,498,148,"A pretium cursus ligula convallis, vestibulum phasellus consequat accusamus erat. Aliquam ac.",
2023-03-02 21:50:18,2023-03-02 21:50:18,Survey Test,100,0,True,2023-03-02 21:50:18,R_6yZw7YlKYPuWXno,test,,Woman,,1950,West Virginia,"Professional School Degree (Example: MD, DDS, DVM, JD)","American Indian or Alaska Native,Asian,Black or African-American,White,Unknown,Prefer not to say",Hispanic or Latinx,ullamcorper,vestibulum,consequat,accusamus,4.24,8.1,7.61,37,Disagree,6.91,8.81,8.47,48,Red,7.16,7.27,9.33,37,Agree strongly,Agree strongly,Agree a little,Disagree moderately,Disagree moderately,Neither agree nor disagree,Disagree moderately,Disagree a little,Agree a little,Disagree strongly,5.86,9.72,9.44,23,2,6,5,1,3,4,7,2,5.99,6.77,8.84,36,295,52,55,241,114,220,163,481,26,115,116,265,"Elementum risus, odio. Accumsan. Proin. Vehicula nec eleifend? Tempor rhoncus nibh! Lorem commodo porta.",
2023-03-02 21:50:18,2023-03-02 21:50:18,Survey Test,100,0,True,2023-03-02 21:50:19,R_eWZmiiwXsLvAUZM,test,,Do not wish to report,,1923,Illinois,Prefer not to say,"Asian,Black or African-American,Native Hawaiian or Other Pacific Islander,White,Unknown,Prefer not to say",Prefer not to say,tincidunt,consequat,tincidunt,vestibulum,5.45,8.27,6.91,37,Strongly Agree,5.25,7.57,9.53,46,Blue,3.57,9.9,9.82,29,Neither agree nor disagree,Agree a little,Disagree strongly,Disagree a little,Disagree moderately,Agree strongly,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,5.71,5.95,6.42,39,4,1,6,7,3,5,2,1,8.29,9.85,9.66,41,166,192,159,89,285,114,327,34,481,29,50,284,Euismod tempora sodales urna porta consectetuer suspendisse fermentum? Quam urna sapien tempor.,
